ФАТИМАТ,FEMALE,2466
ИЛЬГИЗ,MALE,2445
ХАДИЖАТ,FEMALE,2441
ГУЛЬФИЯ,FEMALE,2431
ИЛОНА,FEMALE,2416
АКСАНА,UNKNOWN,2406
КАЗБЕК,MALE,2405
АЛИК,MALE,2398
ЯН,MALE,2370
ИБРАГИМ,MALE,2360
ТАНЗИЛЯ,FEMALE,2359
АЛЕФТИНА,FEMALE,2348
САБИНА,FEMALE,2310
ИЛЬМИРА,FEMALE,2304
РИШАТ,MALE,2294
САМВЕЛ,MALE,2282
ФАНИЯ,FEMALE,2282
ГЛЕБ,MALE,2279
ДИЛЯРА,FEMALE,2265
ЛЯЙСАН,FEMALE,2263
АШОТ,MALE,2254
РЕЗЕДА,FEMALE,2254
ФИЛИПП,MALE,2254
ШУХРАТ,MALE,2254
ЭМИЛЬ,UNKNOWN,2254
ГУЗАЛИЯ,FEMALE,2248
ФЛЮРА,FEMALE,2191
КАМИЛЬ,MALE,2180
НЕЛЯ,FEMALE,2158
АРМАН,MALE,2133
МАРЬЯНА,FEMALE,2059
РАФИК,MALE,2031
МИЛАНА,FEMALE,2025
АНЗОР,MALE,1990
МИЛЯУША,FEMALE,1977
РАИЛЬ,MALE,1970
ДАРИМА,FEMALE,1965
АСЯ,FEMALE,1962
ТУЯНА,FEMALE,1947
АЛИШЕР,MALE,1933
ГАГИК,MALE,1933
КАРИНЕ,FEMALE,1933
ЛЕВОН,MALE,1933
РУЗАННА,FEMALE,1933
СВЯТОСЛАВ,MALE,1933
ТАГИР,MALE,1933
ФАРИД,UNKNOWN,1933
ФАРИТ,MALE,1933
ДАНИЛА,MALE,1906
ГУЛЬСИНА,FEMALE,1884
ЛИНА,FEMALE,1869
ЯНИНА,FEMALE,1851
ГУЛЬНУР,FEMALE,1839
АЙНУР,UNKNOWN,1828
АНАИТ,FEMALE,1828
АМИНА,FEMALE,1827
КИРА,FEMALE,1796
ГУЛЬМИРА,FEMALE,1786
ЛИЯ,FEMALE,1763
НЕЛЛЯ,FEMALE,1756
ЛАУРА,FEMALE,1750
ДАНИЯ,FEMALE,1746
ИЛЬНАР,MALE,1732
ГАЯНЕ,FEMALE,1712
ЛАДА,FEMALE,1709
РАИС,MALE,1702
ИЛЬДУС,MALE,1700
АДАМ,MALE,1679
ЗАМИРА,FEMALE,1675
ФАНИС,MALE,1670
АМИР,UNKNOWN,1647
ХАСАН,MALE,1640
АНВАР,MALE,1631
РАМИС,MALE,1630
АНДРАНИК,MALE,1611
ВСЕВОЛОД,MALE,1611
КАМО,MALE,1611
ЛУСИНЕ,FEMALE,1611
РАШИТ,MALE,1611
РУБЕН,MALE,1611
РУШАН,UNKNOWN,1611
ШАХИН,MALE,1611
ВЕНИАМИН,MALE,1598
САЯНА,FEMALE,1598
АНИСА,FEMALE,1579
РУМИЯ,FEMALE,1578
РУФИНА,FEMALE,1576
НАИДА,FEMALE,1559
РАСИМА,UNKNOWN,1552
НОННА,FEMALE,1551
РАФИС,MALE,1533
МУХАМЕД,MALE,1528
АЙНА,FEMALE,1525
АЛИМ,MALE,1521
ЭЛЬВИНА,FEMALE,1512
МАТВЕЙ,MALE,1504
ИРЕК,MALE,1500
СОСЛАН,MALE,1499
МАЛИКА,FEMALE,1490
НАИРА,FEMALE,1490
РАШИДА,FEMALE,1489
ЭМИЛИЯ,FEMALE,1482
РАСИМ,MALE,1467
АНФИСА,FEMALE,1459
АЛЬФИРА,FEMALE,1432
РАДА,FEMALE,1427
АЙСЫЛУ,FEMALE,1407
РАУШАНИЯ,FEMALE,1389
ИЛЬМИР,MALE,1384
ТАИСА,FEMALE,1376
ТАРАС,MALE,1367
ЭДГАР,MALE,1349
ЗАХАР,MALE,1336
МАНСУР,MALE,1331
ПЕЛАГЕЯ,FEMALE,1321
ЗУЛЬФИРА,FEMALE,1313
САУЛЕ,FEMALE,1313
РОСТИСЛАВ,MALE,1309
АЙНУРА,FEMALE,1289
АРАМ,MALE,1289
АРТАК,MALE,1289
ИЛЬНАЗ,MALE,1289
МАРИНЕ,FEMALE,1289
МАРС,MALE,1289
НАРГИЗА,FEMALE,1289
НУРСУЛТАН,MALE,1289
РАМИН,MALE,1289
РОВШАН,MALE,1289
СЮЗАННА,FEMALE,1289
ТИГРАН,MALE,1289
УЛУГБЕК,MALE,1289
ЭРНЕСТ,MALE,1289
СУЛТАН,MALE,1280
СЕРАФИМА,FEMALE,1276
САРГЫЛАНА,FEMALE,1271
ИННОКЕНТИЙ,MALE,1270
МАЯ,UNKNOWN,1260
ТАХИР,MALE,1260
ЭРИК,MALE,1254
ВАСИЛИСА,FEMALE,1252
РЕНАТА,FEMALE,1242
НАРИНЕ,FEMALE,1240
ХАЛИМАТ,FEMALE,1235
ВАСИЛИНА,FEMALE,1234
РАДМИР,MALE,1228
АЙСЛУ,FEMALE,1223
РУЗАНА,FEMALE,1216
ГЕВОРГ,MALE,1214
НЭЛЯ,FEMALE,1213
МАРТА,FEMALE,1209
ФИРУЗА,FEMALE,1208
ЭВЕЛИНА,FEMALE,1207
ГЮЗЕЛЬ,FEMALE,1202
СТЕЛЛА,FEMALE,1196
КАРИНЭ,FEMALE,1194
